id,ner_tags,tokens
0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@paulwalk', 'این', 'منظره', 'ای', 'است', 'که', 'دو', 'هفته', 'است', 'از', 'آنجا', 'زندگی', 'می', 'کنم.', 'ساختمان', 'امپایر', 'استیت', '=', 'ESB', '.', 'غروب', 'گذشته', 'اینجا', 'طوفان', 'بسیار', 'بدی', 'بود.']"
1,"['O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['از', 'Green', 'Newsfeed:', 'AHFA', 'مهلت', 'دریافت', 'جایزه', 'Sage', 'تا', 'نوامبر', 'تمدید', 'شد.', '5', 'http://tinyurl.com/24agj38']"
2,"['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Pxleyes', '50', 'عکس', 'برتر', 'مسابقه', 'عکاسی', 'آگوست', '2010', '...', 'http://bit.ly/bgCyZ0', '#photography']"
3,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","['امروز', 'آخرین', 'روز', 'من', 'در', 'دفتر', 'است.']"
4,"['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['مکان', '4Dbling', 'تا', 'دوشنبه', ',', 'مهمانی', 'مهمانی', '.', '&آن؛', '3']"
5,"['O', 'O', 'B-creative-work', 'O', 'O', 'O']","['تماشای', 'دوباره', 'VMA', 'قبل', 'از', 'نمایش!']"
6,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['27', 'دنبال', 'کننده!', '30', 'فالوور', 'هدف', 'من', 'برای', 'امروز', 'است!']"
7,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['این', 'دومین', 'بیمارستانی', 'است', 'که', 'امروز', 'در', 'آن', 'حضور', 'دارم،', 'اما', 'به', 'تازگی', 'دکتری', 'را', 'دیدم', 'که', 'نسخه', 'قدیمی', 'جاستین', ""بود:')""]"
8,"['O', 'O', 'O', 'O', 'O']","['جمعه', 'شب', 'می', 'خورد', 'http://twitpic.com/2pdvtr']"
9,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['باید', 'برای', 'هفته', 'مد', 'لندن', 'لباس', 'بپوشم', 'و', 'به', 'سبک', 'مهمانی', 'بپوشم!']"
10,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@Suzie55', 'زمزمه', 'می', 'کند', 'چرا', 'که', 'ممکن', 'است', 'دیشب', '1', 'مورد', 'ودکا', 'زیاد', 'داشته', 'باشم', 'و', 'شکننده', 'هستم،', 'مرا', 'نگه', 'دارید؟']"
11,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['وبلاگ', 'انتخاب', 'های', '#NFL', 'Week', '2', 'در', 'وب', 'سایت', '@The_Score', 'راه', 'اندازی', 'شده', 'است', '...', 'http://blogs.thescore.com/nfl/2010/09/17/pizzolaw2/']"
12,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['من', 'آهنگ', 'های', '@SouljaBoy', 'را', 'بعد', 'از', 'چند', 'نوشیدنی', 'دوست', 'دارم']"
13,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['...', 'برای', 'یک', 'بار', 'از', 'من', 'سوال', 'پرسید', 'اما', 'نه', '!', 'از', 'من', 'در', 'مورد', 'دونات', 'های', 'لعنتی', 'می', 'پرسی', '...', 'روز', 'خوبی', 'داشته', 'باشی', ':P']"
14,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['هر', 'سال', '""بهترین', 'دوست""', 'شما', 'با', 'مشکل', 'مواجه', 'می', 'شود', 'smdh', '#doinme']"
15,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'I-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['RT', '@midgetmegs', ':', 'از', 'افرادی', 'که', 'وضعیت', 'مستی', 'می', 'نویسند', 'متنفر', 'باشید.', 'اگر', 'در', 'فیس', 'بوک', 'نشسته', 'اید', 'و', 'آن', 'را', 'می', 'نویسید،', 'باید', 'لحظات', 'خوبی', 'داشته', 'باشید', '.....']"
16,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@MrzEndy', 'tru', 'tru', 'من', 'دوباره', 'سه', 'شنبه', 'ترک', 'می', 'کنم']"
