id,ner_tags,tokens
0,"['B-ORG', 'I-ORG', 'O', 'B-MISC', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O']","['اتحادیه', 'اروپا', 'فراخوان', 'آلمانی', 'را', 'برای', 'تحریم', 'بریتانیایی', 'بره', 'رد', 'کرد.']"
1,"['B-PER', 'I-PER']","['پیتر', 'بلکبرن']"
2,"['B-LOC', 'O']","['بروکسل', '1996-08-22']"
3,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['کمیسیون', 'اروپایی', 'روز', 'پنجشنبه', 'گفت', 'که', 'با', 'توصیه', 'آلمانی', 'به', 'مصرف', 'کنندگان', 'برای', 'اجتناب', 'از', 'بریتانیایی', 'بره', 'تا', 'زمانی', 'که', 'دانشمندان', 'تعیین', 'کنند', 'که', 'آیا', 'بیماری', 'جنون', 'گاوی', 'می', 'تواند', 'به', 'گوسفند', 'منتقل', 'شود،', 'مخالف', 'است.']"
4,"['O', 'B-LOC', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['نماینده', 'آلمان', 'در', 'کمیته', 'دامپزشکی', 'اتحادیه', 'اروپا', 'ورنر', 'زوینگمن', 'روز', 'چهارشنبه', 'گفت', 'که', 'مصرف', 'کنندگان', 'باید', 'گوشت', 'گوسفند', 'را', 'از', 'کشورهایی', 'غیر', 'از', 'بریتانیا', 'خریداری', 'کنند', 'تا', 'زمانی', 'که', 'توصیه', 'های', 'علمی', 'واضح', 'تر', 'شود.']"
5,"['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['سخنگوی', 'ارشد', 'نیکولاس', 'ون', 'در', 'پاس', 'نیکولاس', 'ون', 'در', 'پاس', 'در', 'یک', 'نشست', 'خبری', 'گفت:', '""ما', 'از', 'چنین', 'توصیه\u200cای', 'حمایت', 'نمی\u200cکنیم', 'زیرا', 'هیچ', 'دلیلی', 'برای', 'آن', 'نمی\u200cبینیم.""']"
6,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O']","['وی', 'گفت:', 'نیاز', 'به', 'مطالعه', 'علمی', 'بیشتر', 'است', 'و', 'اگر', 'مشخص', 'شد', 'که', 'اقدام', 'لازم', 'است', 'باید', 'توسط', 'اتحادیه', 'اروپا', 'انجام', 'شود.']"
7,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['او', 'گفت', 'که', 'پیشنهاد', 'ماه', 'گذشته', 'اتحادیه', 'اروپا', 'کمیسر', 'مزرعه', 'فرانتس', 'فیشلر', 'برای', 'ممنوعیت', 'مغز،', 'طحال', 'و', 'نخاع', 'گوسفند', 'از', 'زنجیره', 'غذایی', 'انسان', 'و', 'حیوان،', 'اقدامی', 'بسیار', 'خاص', 'و', 'پیشگیرانه', 'برای', 'حفاظت', 'از', 'سلامت', 'انسان', 'بود.']"
8,"['B-PER', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['فیشلر', 'اقدامات', 'در', 'سراسر', 'اتحادیه', 'اروپا', 'را', 'پس', 'از', 'گزارش\u200cهایی', 'از', 'بریتانیا', 'و', 'فرانسه', 'پیشنهاد', 'کرد', 'که', 'در', 'شرایط', 'آزمایشگاهی', 'گوسفندها', 'می\u200cتوانند', 'جنون', 'گاوی', 'BSE', '-', 'بیماری', 'جنون', 'گاوی', 'را', 'مبتلا', 'کنند.', '.']"
9,"['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['اما', 'فیشلر', 'پس', 'از', 'اینکه', 'کمیته', 'دایمی', 'دامپزشکی', 'اتحادیه', 'اروپا', 'مسئولین', 'بهداشت', 'حیوانات،', 'این', 'سوال', 'را', 'مطرح', 'کردند', 'که', 'آیا', 'چنین', 'اقدامی', 'موجه', 'است', 'زیرا', 'فقط', 'خطر', 'جزئی', 'برای', 'سلامت', 'انسان', 'وجود', 'دارد،', 'با', 'بررسی', 'پیشنهاد', 'خود', 'موافقت', 'کرد.']"
